TeamID,Team Name,Rank,uId,Player Name,Health,Kill Num,Damage,Max Kill Distance,Assists,Knockouts,Head Shot Num,In Damage,Heal,Survival Time,Outside Blue Circle Time,Poison Total Damage,Kill Num In Vehicle,Kill Num By Grenade,Drive Distance,March Distance,Rescue Times,Use Smoke Grenade Num,Use Frag Grenade Num,Use Burn Grenade Num,Use Flash Grenade Num,Got Air Drop Num,Total Damage per Team
"11","Team11","1","5162712510","Mʞ〢ＪＪ","68","7","1085","76","0","1","0","90","81","18m 9s","0m 2s","22","0","2","1101","1670","0","4","9","0","0","0","1085"
"41","Team41","2","5879333980","srPikitO","0","4","544","112","0","0","1","231","161","17m 33s","0m 0s","30","0","0","620","1311","0","4","2","2","0","1","544"
"4","Team4","3","5661957773","SpLBomba77","0","4","752","65","0","0","0","174","105","16m 56s","0m 1s","28","1","0","5418","1282","0","4","2","1","0","0","752"
"96","Team96","4","51659143449","nvyEsteɮan¹","0","1","465","7","0","1","0","537","439","16m 55s","0m 4s","96","0","0","4186","2020","0","3","4","0","0","0","465"
"43","Team43","5","551989148","1paXeneize","0","5","711","136","0","1","1","182","82","15m 39s","0m 0s","0","0","1","3031","1568","0","6","5","0","0","0","711"
"23","Team23","6","562888879","9zeKING","0","0","71","0","0","0","0","286","298","16m 9s","1m 54s","111","0","0","4712","1115","0","2","0","0","0","0","71"
"5","Team5","7","51580320173","panzombi","0","2","237","64","0","0","0","222","244","15m 14s","1m 27s","121","0","0","473","3805","0","1","1","0","0","0","237"
"88","Team88","8","5250695449","DEUNCORNETAZO","0","1","82","41","0","0","0","183","153","14m 56s","0m 17s","46","0","0","2842","1439","0","3","1","1","0","0","82"
"17","Team17","9","5612855558","ASFŰLUNA","0","0","0","0","0","0","0","79","46","14m 38s","0m 36s","67","0","0","6497","377","0","0","1","0","0","0","0"
"13","Team13","10","5385943078","crimJedly","0","0","0","0","0","0","0","128","62","13m 53s","0m 2s","34","0","0","3247","1983","0","0","0","1","0","0","0"
