"TeamID","Nombredel Equipo","Rango","uId","Nombredel Jugador","Salud","Númerode Bajas","Daño","Máxima Distanciade Baja","Asistencias","Noqueos","Número deHeadshots","DañoRecibido","Curación","Tiempo deSupervivencia","Tiempo Fuera delCírculo Azul","Daño Totalpor Veneno","Bajas enVehículo","Bajas conGranada","DistanciaConducida","DistanciaRecorrida","Rescates","Granadas de HumoUsadas","Granadas FragmentaciónUsadas","Granadas IncendiariasUsadas","Granadas CegadorasUsadas","SuministrosObtenidos","Daño Totalpor Equipo"
96,Team96,1,51659143449,nvyEsteɮan¹,34,2,425,7,0,0,0,169,103,19m 48s,0m 0s,0,0,0,0,4477,0,2,0,0,0,0,425
17,Team17,2,5218238268,M͜KitūKat๛,0,0,78,0,0,0,0,214,131,19m 45s,0m 8s,17,0,0,0,4735,0,0,0,0,0,0,78
11,Team11,3,5162712510,Mʞ〢ＪＪ,0,3,384,125,0,0,1,102,42,19m 44s,0m 0s,0,0,0,0,4523,0,1,0,0,0,1,384
92,Team92,4,51644892258,5乛XT丨SANDY,0,0,0,0,0,0,0,100,290,19m 7s,4m 22s,290,0,0,0,4142,0,3,0,0,0,0,0
15,Team15,5,5351222243,會SEÑOR會Xツ,0,1,204,10,0,0,0,227,151,19m 17s,0m 2s,24,0,0,1581,2506,0,2,0,0,0,0,204
16,Team16,6,580808911,BERฮGødzilla,0,2,204,321,0,0,0,100,0,17m 21s,0m 0s,0,0,0,0,3415,0,0,0,0,0,0,204
6,Team6,7,5216037752,1paMATO18,0,1,10,173,0,0,0,98,94,16m 57s,0m 9s,68,0,0,0,3807,0,0,0,0,1,0,10
4,Team4,8,546362992,ㅇMiLeK,0,1,152,36,0,0,0,165,65,16m 26s,0m 0s,0,0,0,0,4480,0,3,0,0,0,1,152
12,Team12,9,5382735629,〘LRK〙THISOMM,0,2,193,246,0,0,1,75,302,15m 1s,0m 58s,328,0,0,0,3683,0,0,0,0,0,1,193
20,Team20,10,539864305,尺父丂๛KÜAÜ,0,0,0,0,0,0,0,33,443,14m 3s,4m 56s,467,0,0,0,3749,0,0,0,0,0,0,0
9,Team9,11,52052010683,龙LSVメNiko359,0,0,65,0,0,1,0,0,8,14m 33s,0m 34s,113,0,0,0,2594,0,0,0,0,0,0,65
91,Team91,12,576985008,5乛XT丨MOISÉS,0,0,176,0,0,1,0,0,131,14m 52s,0m 55s,234,0,0,0,3156,0,0,0,0,0,0,176
8,Team8,13,51813354732,『BcT』Tutio,0,1,36,91,0,0,0,0,261,14m 44s,1m 58s,342,0,0,0,3851,0,0,0,0,0,0,36
28,Team28,14,520705519,MismisimoEddie,0,2,341,2,0,1,1,245,219,14m 58s,0m 38s,142,0,0,0,2688,0,0,2,1,0,0,341
5,Team5,15,51830351242,Sadbacterium,0,0,0,0,0,0,0,0,232,14m 6s,2m 50s,334,0,0,0,3540,0,0,0,0,0,0,0
2,Team2,16,51792225482,ELLIMINATE2,0,0,0,0,0,0,0,69,77,13m 44s,0m 57s,108,0,0,0,3223,0,0,0,0,0,0,0
1,Team1,17,52032434204,龙LSVメNorlan,0,0,182,0,0,0,0,154,64,13m 52s,0m 0s,0,0,0,0,2526,0,0,0,0,0,0,182
14,Team14,18,5223758938,ūFlorīīī,0,1,101,45,0,0,0,35,109,13m 18s,1m 28s,173,0,0,0,2202,0,0,0,0,0,0,101
19,Team19,19,52070350364,McS๛NETRO,0,0,0,0,0,0,0,74,0,13m 6s,0m 0s,0,0,0,0,414,0,0,0,0,0,0,0
7,Team7,20,52041118538,AnthonyCantan,0,0,0,0,0,0,0,188,0,13m 5s,0m 0s,0,0,0,0,940,0,0,0,0,0,0,0
37,Team37,21,5216749258,CDSxJxUxZ,0,0,0,0,0,0,0,104,4,7m 26s,0m 0s,0,0,0,0,331,0,0,0,0,0,0,0
13,Team13,22,51849036118,Revenger15,0,0,0,0,0,0,0,186,0,6m 14s,0m 0s,0,0,0,0,1724,0,0,0,0,0,0,0
18,Team18,23,5336419911,ryuMUSTANGg38,0,0,0,0,0,0,0,0,0,1m 52s,0m 0s,0,0,0,0,312,0,0,0,0,0,0,0
10,Team10,24,5128953808,McS๛PubgManco,0,0,0,0,0,0,0,100,0,0m 28s,0m 0s,0,0,0,0,125,0,0,0,0,0,0,0
3,Team3,25,5764361473,McS๛PEACHツ,0,0,0,0,0,0,0,100,0,1m 4s,0m 0s,0,0,0,0,223,0,0,0,0,0,0,0
