"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
25,Team25,1,590341916,ŪūūSTOP,100,3,590,133,0,1,1,0,0,16m 30s,0m 0s,0,0,0,3249,1511,0,2,1,0,0,0,590
96,Team96,2,5900191615,Habieruハビエ,0,1,163,23,0,0,0,0,243,16m 24s,2m 56s,327,0,0,0,2478,0,0,0,0,0,0,163
42,Team42,3,5164430388,bcStiven283,0,3,378,73,0,1,1,136,97,16m 20s,0m 59s,60,0,0,0,2916,0,0,2,1,0,0,378
8,Team8,4,51391359922,SteelTinchø,0,6,699,333,0,1,3,232,277,16m 2s,3m 42s,242,0,1,3412,971,0,1,3,1,0,0,699
32,Team32,5,5162712510,Mʞ〢ＪＪ,0,3,294,130,0,0,1,177,23,15m 40s,0m 2s,30,0,0,0,1977,0,0,1,0,0,0,294
98,Team98,6,5779671525,SVシANUBIS,0,0,0,0,0,0,0,194,94,15m 4s,0m 0s,0,0,0,4238,681,0,0,0,0,0,0,0
1,Team1,7,568524628,RNGJONA,0,2,182,101,0,0,0,0,323,14m 16s,0m 48s,424,0,0,731,2551,0,0,2,1,0,0,182
36,Team36,8,52189333869,BanngT,0,0,0,0,0,0,0,100,0,13m 42s,0m 0s,0,0,0,0,2064,0,0,1,0,0,1,0
27,Team27,9,551989148,1paXeneize,0,4,358,56,0,0,0,196,364,13m 39s,1m 27s,248,0,0,0,2863,0,1,4,1,0,0,358
9,Team9,10,5166514645,؄Spɪcʏ͜٭,0,3,270,102,0,0,0,100,0,13m 30s,0m 0s,0,0,0,1848,1870,0,0,1,0,0,0,270
31,Team31,11,552226580,Lautaro你好,0,2,127,85,0,0,0,197,0,13m 30s,0m 0s,0,0,0,1940,1776,0,0,0,0,0,0,127
19,Team19,12,5369042205,PARCA,0,0,0,0,0,0,0,0,147,13m 43s,0m 35s,250,0,0,0,835,0,0,0,0,0,0,0
99,Team99,13,51203944432,ARROWDEUS,0,3,484,12,0,1,0,315,354,12m 48s,1m 2s,139,0,0,0,2119,0,0,0,1,0,0,484
84,Team84,14,51644892258,5乛XT丨SANDY,0,0,0,0,0,0,0,100,47,12m 1s,0m 48s,47,0,0,2428,1602,0,0,0,0,0,0,0
28,Team28,15,51777125068,VIPCarlos,0,1,100,33,0,0,1,106,6,11m 20s,0m 0s,0,0,0,4062,626,0,0,0,0,0,0,100
26,Team26,16,51528853651,Elbueroconb,0,0,34,0,0,0,0,0,505,11m 4s,4m 25s,606,0,0,0,2400,0,0,0,0,0,0,34
33,Team33,17,5336419911,ryuMUSTANGg38,0,0,0,0,0,0,0,98,0,10m 42s,0m 1s,2,0,0,491,591,0,0,0,0,0,0,0
15,Team15,18,5118949494,pgZeta,0,4,378,85,0,0,0,193,161,10m 49s,1m 4s,68,0,0,0,2418,0,1,1,1,0,0,378
3,Team3,19,5216037752,1paMATO18,0,1,192,82,0,1,0,100,32,10m 29s,0m 27s,32,0,0,2168,1657,0,0,1,0,0,0,192
16,Team16,20,51560855619,『Leo』nelツ,0,1,100,2,0,0,0,128,28,9m 52s,0m 0s,0,0,0,0,1388,0,0,0,0,0,0,100
29,Team29,21,5903187007,1paRoyerJr,0,3,295,13,0,0,0,100,0,10m 2s,0m 0s,0,0,0,0,883,0,0,1,0,0,0,295
70,Team70,22,51931741965,DEPREDADORůIV,0,0,0,0,0,0,0,192,92,9m 20s,0m 0s,0,0,0,1328,660,0,0,0,0,0,0,0
5,Team5,23,5879333980,srPikitO,0,0,17,0,0,0,0,100,0,8m 50s,0m 0s,0,0,0,0,1332,0,0,0,0,0,0,17
22,Team22,24,51541105831,Bpin͜k丨Ruby,0,0,0,0,0,0,0,100,75,8m 35s,0m 55s,72,0,0,0,1786,0,0,0,0,0,0,0
10,Team10,25,52286239929,rtpNocta1,0,1,249,3,0,0,0,141,61,8m 25s,0m 0s,0,0,1,0,1004,0,0,1,0,0,0,249
11,Team11,26,51783501612,ヤディソン,0,1,100,3,0,0,0,94,0,6m 53s,0m 0s,0,0,0,219,1267,0,0,0,0,0,0,100
12,Team12,27,511317182,sosBLUNDER,0,0,0,0,0,0,0,94,136,6m 27s,2m 16s,141,0,0,0,1327,0,0,0,0,0,0,0
92,Team92,28,5216749258,CDSxJxUxZ,0,0,29,0,0,0,0,95,78,5m 8s,1m 29s,83,0,0,2112,650,0,0,0,0,0,0,29
14,Team14,29,5216912281,SRT×͜×Xavi,0,0,0,0,0,0,0,100,0,5m 11s,0m 0s,0,0,0,0,1047,0,0,0,0,0,0,0
68,Team68,30,576985008,5乛XT丨MOISÉS,0,0,0,0,0,0,0,42,105,5m 8s,2m 43s,163,0,0,18,1033,0,0,0,0,0,0,0
94,Team94,31,52010894553,papáツdrilo,0,0,0,0,0,0,0,58,83,4m 41s,1m 59s,124,0,0,200,935,0,0,0,0,0,0,0
7,Team7,32,5107817752,JorgitoRios007,0,0,0,0,0,0,0,100,0,4m 55s,0m 0s,0,0,0,0,454,0,0,0,0,0,0,0
93,Team93,33,5501679006,5乛XT丨MICHEL,0,0,0,0,0,0,0,58,67,3m 56s,2m 3s,108,0,0,0,774,0,0,0,0,0,0,0
2,Team2,34,52021121114,TF・chiki,0,0,0,0,0,0,0,154,0,3m 59s,0m 33s,32,0,0,121,865,0,0,0,0,0,0,0
