TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
2,Team2,1,5223758938,WHŪFlor,100,1,162,39,0,0,0,21,130,25m 34s,0m 7s,81,0,1,14173,725,0,0,3,0,0,1,162,,,,,,,,,,,,,,
100,Team100,2,5382735629,〘LRK〙THISOMM,0,2,264,50,0,0,0,42,93,25m 34s,0m 2s,156,1,0,9127,1392,0,4,6,2,0,0,264,,,,,,,,,,,,,,
15,Team15,3,51849036118,Revenger15,0,1,100,2,0,0,0,113,176,25m 35s,0m 2s,145,1,0,12851,1207,0,1,2,1,0,0,100,,,,,,,,,,,,,,
21,Team21,4,5539851147,namelessॱ666,0,2,230,13,0,0,0,146,46,24m 14s,0m 0s,0,0,2,8628,1069,0,0,9,2,0,0,230,,,,,,,,,,,,,,
3,Team3,5,5845452191,『Masternoob』,0,0,0,0,0,0,0,34,88,24m 12s,0m 11s,73,0,0,9597,2501,0,0,4,0,1,0,0,,,,,,,,,,,,,,
4,Team4,6,51272397811,DC๛ZorixPlay,0,2,85,3,0,0,0,66,83,23m 44s,0m 51s,114,2,0,12369,996,0,0,2,0,0,0,85,,,,,,,,,,,,,,
11,Team11,7,51813354732,『BcT』Tutio,0,1,273,10,0,0,0,93,25,23m 26s,0m 0s,10,0,0,12618,1598,0,0,5,4,0,0,273,,,,,,,,,,,,,,
1,Team1,8,546362992,ㅇMiLeK,0,0,0,0,0,0,0,50,104,23m 10s,0m 2s,69,0,0,9928,2095,0,0,4,0,0,0,0,,,,,,,,,,,,,,
5,Team5,9,5216037752,1paMATO18,0,2,200,3,0,0,0,93,40,23m 5s,0m 0s,0,2,0,9083,1955,0,0,3,3,0,0,200,,,,,,,,,,,,,,
10,Team10,10,5195769920,ElPINOCHOSEXY,0,0,0,0,0,0,0,105,78,23m 5s,0m 30s,52,0,0,13760,1205,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7,Team7,11,51830351242,Sadbacterium,0,0,0,0,0,0,0,100,16,21m 6s,0m 24s,16,0,0,13291,769,0,0,0,0,0,1,0,,,,,,,,,,,,,,
9,Team9,12,5162712510,Mʞ〢ＪＪ,0,1,104,17,0,0,0,62,15,20m 26s,0m 12s,15,0,1,7308,2216,0,0,3,0,0,0,104,,,,,,,,,,,,,,
6,Team6,13,5760505422,LoscarSPM,0,0,0,0,0,0,0,84,5,20m 16s,0m 1s,21,0,0,10350,1092,0,0,3,0,0,1,0,,,,,,,,,,,,,,
8,Team8,14,5445813853,FERNETxDavid,0,0,0,0,0,0,0,100,1,16m 25s,0m 1s,1,0,0,0,3190,0,0,3,0,0,0,0,,,,,,,,,,,,,,
13,Team13,15,5336419911,WHūMUSTANGg38,0,0,0,0,0,0,0,100,25,15m 59s,0m 0s,0,0,0,7714,1373,0,0,2,0,0,0,0,,,,,,,,,,,,,,
16,Team16,16,5114882255,ʚɞYessiʚɞ,0,0,0,0,0,0,0,100,22,13m 17s,0m 25s,22,0,0,2728,2083,0,0,0,1,1,0,0,,,,,,,,,,,,,,
24,Team24,17,51792225482,ELLIMINATE2,0,0,0,0,0,0,0,100,3,12m 48s,0m 0s,0,0,0,7060,674,0,0,4,0,0,0,0,,,,,,,,,,,,,,
