TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
16,Team16,1,5321832250,Mʞ〢Revoox,65,6,483,94,0,0,0,136,81,12m 10s,0m 6s,79,0,1,0,1185,0,1,2,1,0,0,483,,,,,,,,,,,,,,
1,Team1,2,5539851147,namelessॱ666,0,4,419,192,0,0,0,91,117,12m 16s,2m 1s,126,0,0,1676,830,0,4,1,1,0,0,419,,,,,,,,,,,,,,
10,Team10,3,52020278564,SAYAxONICHAN,0,2,243,64,0,0,1,243,65,12m 3s,0m 2s,21,0,0,0,1391,0,0,5,0,0,0,243,,,,,,,,,,,,,,
51,Team51,4,52024453439,c͡GŪPûlg么,0,2,280,52,0,0,0,223,103,10m 56s,0m 25s,79,0,0,142,832,0,3,3,0,0,0,280,,,,,,,,,,,,,,
11,Team11,5,5216037752,1paMATO18,0,3,340,25,0,0,1,170,41,9m 32s,0m 30s,71,0,0,566,685,0,0,1,1,0,0,340,,,,,,,,,,,,,,
4,Team4,6,5939377173,xnzIvan¹,0,3,300,39,0,0,0,264,85,9m 21s,0m 1s,20,0,0,0,918,0,0,0,0,0,0,300,,,,,,,,,,,,,,
2,Team2,7,568524628,RNGJONA,0,6,521,47,0,0,0,283,259,9m 21s,2m 20s,176,0,2,0,1199,0,2,4,2,0,0,521,,,,,,,,,,,,,,
48,Team48,8,51867149474,sirJost乔,0,0,147,0,0,0,0,201,2,8m 48s,0m 0s,0,0,0,0,800,0,0,2,0,0,0,147,,,,,,,,,,,,,,
3,Team3,9,5845452191,『Masternoob』,0,0,0,0,0,0,0,190,90,8m 49s,0m 0s,0,0,0,1239,732,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8,Team8,10,5760544684,E¢R亗Levi7亗,0,1,282,4,0,0,0,236,183,8m 34s,0m 30s,146,0,0,735,528,0,1,0,1,0,0,282,,,,,,,,,,,,,,
9,Team9,11,5385943078,crimJedly,0,0,23,0,0,0,0,0,2,8m 23s,0m 20s,104,0,0,0,784,0,0,0,0,0,0,23,,,,,,,,,,,,,,
17,Team17,12,5779671525,SVシANUBIS,0,0,96,0,0,0,0,187,57,7m 58s,0m 31s,70,0,0,0,1163,0,0,1,2,0,0,96,,,,,,,,,,,,,,
27,Team27,13,5819929758,气S͜͡åA乙๖,0,1,130,130,0,0,0,270,70,7m 53s,0m 0s,0,0,0,0,543,0,0,0,0,0,0,130,,,,,,,,,,,,,,
23,Team23,14,51786450040,RNGquique,0,0,119,0,0,0,0,169,0,7m 52s,0m 8s,32,0,0,0,927,0,0,0,0,0,0,119,,,,,,,,,,,,,,
6,Team6,15,555760861,RevOMAR,0,2,227,28,0,0,0,331,326,7m 42s,1m 56s,195,0,1,0,691,0,0,1,0,0,0,227,,,,,,,,,,,,,,
33,Team33,16,52171538893,【BP】NINJA,0,3,267,91,0,0,1,292,99,6m 45s,0m 5s,7,0,0,0,484,0,0,1,0,0,0,267,,,,,,,,,,,,,,
14,Team14,17,51365466166,xickf,0,0,59,0,0,0,0,191,0,6m 39s,0m 5s,8,0,0,0,1105,0,0,0,0,0,0,59,,,,,,,,,,,,,,
15,Team15,18,51973997543,LYIM4¥K,0,1,169,19,0,0,1,245,45,6m 14s,0m 0s,0,0,0,498,332,0,0,0,0,0,0,169,,,,,,,,,,,,,,
13,Team13,19,51556582114,๛R٭O٭Y؄总,0,0,12,0,0,0,0,100,21,4m 16s,0m 28s,21,0,0,563,511,0,0,0,0,0,0,12,,,,,,,,,,,,,,
7,Team7,20,51792225482,ELLIMINATE2,0,0,0,0,0,0,0,100,0,4m 12s,0m 0s,0,0,0,0,623,0,0,0,0,0,0,0,,,,,,,,,,,,,,
12,Team12,21,5250695449,DEUNCORNETAZO,0,0,0,0,0,0,0,95,0,3m 4s,0m 0s,0,0,0,0,115,0,0,0,0,0,0,0,,,,,,,,,,,,,,
5,Team5,22,51524888446,亗J么ViER亗,0,0,15,0,0,0,0,100,0,2m 2s,0m 0s,0,0,0,0,282,0,0,0,0,0,0,15,,,,,,,,,,,,,,
