TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%),PPP
2,Team2,1,5539851147,namelessॱ666,41,9,599,42,0,0,1,390,556,12m 57s,3m 51s,321,0,1,1297,1131,0,3,2,1,1,0,599,,,,,,,,,,,,,,,16
22,Team22,2,519183492,Mʞ〢Fley,0,7,695,101,0,0,0,255,170,12m 57s,0m 29s,104,0,0,0,1764,0,1,4,1,0,0,695,,,,,,,,,,,,,,,14
52,Team52,3,5336419911,WHūMUSTANGg38,0,3,329,6,0,0,0,409,248,12m 53s,0m 11s,38,0,0,456,798,0,0,3,2,0,0,329,,,,,,,,,,,,,,,12
17,Team17,4,51867149474,sirJost乔,0,4,527,108,0,0,0,273,179,12m 1s,2m 1s,94,0,0,0,1532,0,0,1,1,0,0,527,,,,,,,,,,,,,,,10
10,Team10,5,5760544684,E¢R亗Levi7亗,0,2,263,79,0,0,0,250,88,11m 37s,0m 7s,38,0,0,0,1258,0,1,2,1,0,0,263,,,,,,,,,,,,,,,10
15,Team15,6,533497416,SLTiagopai,0,0,0,0,0,0,0,121,21,11m 5s,0m 0s,0,0,0,195,1215,0,0,1,0,0,0,0,,,,,,,,,,,,,,,8
16,Team16,7,51813354732,『BcT』Tutio,0,1,113,83,0,0,0,200,0,10m 29s,0m 0s,0,0,0,0,1043,0,0,0,0,0,0,113,,,,,,,,,,,,,,,8
12,Team12,8,51446952222,『VANSII』,0,1,100,8,0,0,0,18,86,10m 20s,0m 24s,168,0,0,0,1200,0,0,0,0,0,0,100,,,,,,,,,,,,,,,6
13,Team13,9,5398450888,IMT十FranBoyyy,0,2,142,55,0,0,0,165,10,9m 48s,0m 3s,44,0,0,0,919,0,0,0,0,0,0,142,,,,,,,,,,,,,,,6
18,Team18,10,5216037752,1paMATO18,0,0,76,0,0,0,0,202,2,9m 47s,0m 0s,0,0,0,0,1382,0,0,1,0,0,0,76,,,,,,,,,,,,,,,6
21,Team21,11,5222259228,IBsCAPIBARA,0,4,449,10,0,0,0,291,248,9m 44s,2m 49s,135,0,0,0,887,0,2,4,0,0,0,449,,,,,,,,,,,,,,,4
19,Team19,12,5118949494,pgZeta,0,0,26,0,0,0,0,190,178,9m 16s,0m 32s,183,0,0,998,981,0,2,0,0,0,1,26,,,,,,,,,,,,,,,4
23,Team23,13,5557471866,Mʞ〢Takana,0,0,49,0,0,0,0,70,2,9m 12s,0m 18s,103,0,0,0,1399,0,1,1,0,0,0,49,,,,,,,,,,,,,,,4
3,Team3,14,5554408790,NCA×TÓXICO×,0,1,167,3,0,0,0,152,55,9m 6s,0m 19s,103,0,0,0,1030,0,0,0,0,0,0,167,,,,,,,,,,,,,,,2
6,Team6,15,590341916,ŪūūSTOP,0,2,425,19,0,0,0,219,81,9m 2s,0m 10s,61,0,0,251,549,0,0,3,0,0,0,425,,,,,,,,,,,,,,,2
14,Team14,16,5124700603,乙z丨¹Oliver,0,2,203,144,0,0,0,266,66,7m 7s,0m 0s,0,0,0,0,1019,0,0,0,0,0,0,203,,,,,,,,,,,,,,,2
9,Team9,17,51347327959,pgEylin,0,0,28,0,0,0,0,202,2,7m 0s,0m 0s,0,0,0,0,800,0,0,0,1,0,0,28,,,,,,,,,,,,,,,2
4,Team4,18,5216749258,CDSxJxUxZ,0,2,278,23,0,0,0,229,29,6m 59s,0m 0s,0,0,0,0,568,0,0,1,0,0,0,278,,,,,,,,,,,,,,,0
26,Team26,19,5314987545,tito94gt,0,1,208,42,0,0,0,100,21,7m 1s,0m 31s,21,0,0,439,1074,0,0,1,0,0,0,208,,,,,,,,,,,,,,,0
20,Team20,20,5223758938,WHŪFlor,0,1,191,3,0,0,0,282,82,6m 46s,0m 0s,0,0,0,0,340,0,0,0,0,0,0,191,,,,,,,,,,,,,,,0
7,Team7,21,573587941,AngelFlowYT,0,0,130,0,0,0,0,141,60,5m 24s,2m 30s,118,0,0,0,340,0,1,1,2,0,0,130,,,,,,,,,,,,,,,0
8,Team8,22,5162712510,Mʞ〢ＪＪ,0,0,19,0,0,0,0,130,0,4m 34s,1m 35s,69,0,0,0,17,0,0,0,0,0,0,19,,,,,,,,,,,,,,,0
1,Team1,23,5760505422,LoscarSPM,0,0,0,0,0,0,0,200,0,4m 18s,0m 0s,0,0,0,0,462,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0
24,Team24,24,5633938165,sirPELE,0,1,190,7,0,0,0,200,0,3m 29s,0m 0s,0,0,0,0,301,0,0,2,0,0,0,190,,,,,,,,,,,,,,,0
5,Team5,25,541950987,MOTOMASACRE,0,0,215,0,0,0,0,254,54,3m 18s,0m 0s,0,0,0,0,177,0,0,1,1,0,0,215,,,,,,,,,,,,,,,0
11,Team11,26,51308238408,《SV๛Anubisツ,0,2,175,26,0,0,1,268,68,2m 56s,0m 1s,0,0,0,0,156,0,0,0,1,0,0,175,,,,,,,,,,,,,,,0
25,Team25,27,51767895665,saray234578903,0,0,0,0,0,0,0,100,0,2m 41s,0m 0s,0,0,0,0,276,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0
