TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
82,EQUIPO 82,1,5611604905,LCZūWells,50,6,560,307,0,0,0,140,121,24m 40s,0m 1s,30,0,0,5471,1865,0,1,2,1,0,0,560,3,17,2,1,4,"102002,101002,101004","UMP45,M16A4,M416",UMP45:128.9 / M16A4:303.0 / M416:191.6,UMP45:1 / M16A4:2 / M416:3,UMP45:27 / M16A4:81 / M416:47,UMP45:5 / M16A4:13 / M416:9,155,27,17.42
94,EQUIPO 94,2,546165438,GARAGoat,0,4,378,177,0,0,2,225,190,24m 40s,0m 2s,56,0,0,4214,1935,0,2,0,2,0,0,378,2,10,2,0,3,"102002,101004,101001,107010","UMP45,M416,AKM,Arma 107010",UMP45:190.8 / M416:232.8 / AKM:0.0 / Arma 107010:0.0,UMP45:2 / M416:2 / AKM:0 / Arma 107010:0,UMP45:63 / M416:87 / AKM:0 / Arma 107010:0,UMP45:7 / M416:10 / AKM:0 / Arma 107010:0,150,17,11.33
28,EQUIPO 28,3,562362365,e404elTONY,0,5,373,139,0,0,0,240,162,24m 13s,0m 2s,21,0,0,3564,2410,0,5,3,1,1,0,373,1,9,1,1,5,"102002,101004,103008,105001,106006","UMP45,M416,Win94,M249,Sawed-off",UMP45:201.7 / M416:237.5 / Win94:0.0 / M249:0.0 / Sawed-off:0.0,UMP45:1 / M416:4 / Win94:0 / M249:0 / Sawed-off:0,UMP45:81 / M416:138 / Win94:0 / M249:0 / Sawed-off:0,UMP45:8 / M416:9 / Win94:0 / M249:0 / Sawed-off:0,219,17,7.76
15,EQUIPO 15,4,51726369297,Lord〆XPIDER个,0,2,321,6,0,0,0,324,224,22m 42s,0m 0s,0,0,0,5735,2214,0,1,0,0,0,0,321,3,8,3,0,3,"102002,102001,104004","UMP45,UZI,DBS",UMP45:240.5 / UZI:0.0 / DBS:92.1,UMP45:1 / UZI:0 / DBS:1,UMP45:75 / UZI:0 / DBS:8,UMP45:9 / UZI:0 / DBS:8,83,17,20.48
6,EQUIPO 6,5,568524628,RNGJONA,0,2,575,193,0,0,1,291,412,22m 13s,3m 19s,221,0,0,9062,1963,0,3,1,1,0,1,575,3,13,0,3,2,"101007,102002,105010","QBZ,UMP45,MG3",QBZ:466.3 / UMP45:0.0 / MG3:47.4,QBZ:2 / UMP45:0 / MG3:0,QBZ:399 / UMP45:0 / MG3:25,QBZ:19 / UMP45:0 / MG3:2,424,21,4.95
58,EQUIPO 58,6,5118029351,亗MH『SOLlD』,0,1,197,37,0,0,0,167,80,21m 32s,0m 12s,12,0,0,1068,3644,0,0,0,0,0,0,197,0,6,1,0,2,"101003,101008,103100,103008","SCAR-L,M762,MK12,Win94",SCAR-L:148.8 / M762:53.3 / MK12:0.0 / Win94:0.0,SCAR-L:0 / M762:1 / MK12:0 / Win94:0,SCAR-L:66 / M762:71 / MK12:0 / Win94:4,SCAR-L:7 / M762:2 / MK12:0 / Win94:0,141,9,6.38
45,EQUIPO 45,7,5137102398,DSSxArki,0,1,149,62,0,0,0,40,156,21m 23s,1m 56s,209,0,0,3668,2206,0,2,1,0,0,0,149,1,2,0,0,2,"101006,103001,101101","AUG A3,Kar98K,ASM Abakan",AUG A3:138.2 / Kar98K:0.0 / ASM Abakan:0.0,AUG A3:1 / Kar98K:0 / ASM Abakan:0,AUG A3:51 / Kar98K:1 / ASM Abakan:0,AUG A3:5 / Kar98K:0 / ASM Abakan:0,52,5,9.62
86,EQUIPO 86,8,5817224397,ĀK๑ZENOSAMA,0,1,240,14,0,0,0,199,142,21m 18s,0m 6s,42,0,0,4940,1827,0,1,0,0,0,0,240,0,9,1,0,3,"101004,103001,102003,102002","M416,Kar98K,Vector,UMP45",M416:160.0 / Kar98K:0.0 / Vector:0.0 / UMP45:89.3,M416:1 / Kar98K:0 / Vector:0 / UMP45:0,M416:46 / Kar98K:2 / Vector:0 / UMP45:19,M416:9 / Kar98K:0 / Vector:0 / UMP45:4,67,13,19.40
14,EQUIPO 14,9,51314738112,Jäckäl,0,2,261,8,0,0,0,72,236,21m 15s,3m 40s,264,0,0,3995,1547,0,1,0,1,0,0,261,0,9,0,1,3,"102001,103001,101004,106006","UZI,Kar98K,M416,Sawed-off",UZI:203.5 / Kar98K:0.0 / M416:17.5 / Sawed-off:0.0,UZI:2 / Kar98K:0 / M416:0 / Sawed-off:0,UZI:39 / Kar98K:0 / M416:23 / Sawed-off:0,UZI:12 / Kar98K:0 / M416:1 / Sawed-off:0,62,13,20.97
36,EQUIPO 36,10,5606356205,乇・S๛rider,0,1,160,3,0,0,0,259,194,21m 9s,1m 9s,33,0,0,7609,1251,0,0,0,0,0,1,160,1,2,1,0,1,"102002,101003,102001,103008","UMP45,SCAR-L,UZI,Win94",UMP45:113.3 / SCAR-L:56.2 / UZI:0.0 / Win94:0.0,UMP45:1 / SCAR-L:0 / UZI:0 / Win94:0,UMP45:63 / SCAR-L:23 / UZI:25 / Win94:1,UMP45:4 / SCAR-L:1 / UZI:0 / Win94:0,112,5,4.46
3,EQUIPO 3,11,5445813853,FERNETxDavid,0,0,159,0,0,0,0,130,251,20m 53s,1m 29s,221,0,0,2564,3868,0,1,0,0,0,0,159,0,4,1,0,2,"102002,103006,106001","UMP45,Mini14,P92",UMP45:158.7 / Mini14:0.0 / P92:0.0,UMP45:0 / Mini14:0 / P92:0,UMP45:49 / Mini14:0 / P92:13,UMP45:7 / Mini14:0 / P92:0,62,7,11.29
39,EQUIPO 39,12,51231020565,Fir£Dary,0,1,171,143,0,0,0,220,198,20m 46s,0m 8s,43,0,0,2939,2281,0,2,2,0,0,0,171,2,3,0,0,0,"102002,101003,104004,106002","UMP45,SCAR-L,DBS,P1911",UMP45:0.0 / SCAR-L:174.6 / DBS:0.0 / P1911:0.0,UMP45:0 / SCAR-L:1 / DBS:0 / P1911:0,UMP45:20 / SCAR-L:159 / DBS:0 / P1911:0,UMP45:0 / SCAR-L:5 / DBS:0 / P1911:0,179,5,2.79
66,EQUIPO 66,13,51813354732,『BcT』Tutio,0,2,346,45,0,0,0,126,51,19m 55s,0m 11s,24,0,0,3213,1479,0,1,2,0,1,0,346,1,8,0,1,4,"102002,105002","UMP45,DP-28",UMP45:253.5 / DP-28:101.2,UMP45:2 / DP-28:0,UMP45:70 / DP-28:72,UMP45:10 / DP-28:4,142,14,9.86
